"","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"group","matrix","matrix","matrix","plasma","plasma","plasma"
"188.0462/26.672","3365.24253929989","2920.16065905304","2737.31648219059","110256.770531843","151054.44455318","144595.53500576"
"189.005/102.609","10350.9918576439","9013.04744667746","8803.81343455699","565604.104791341","562316.212184286","554581.47211724"
"190.0078/102.609","1698.37009523394","1371.16453151703","1534.53111551031","41960.0182270526","46588.1308049847","44769.3834690163"
"191.1076/283.729","9531.19909570511","8884.94043516235","9686.45315241912","100031.484597067","101304.803371","98714.8630673138"
"193.0997/312.833","2722.36102829163","3936.43040861638","2496.28772400667","10483.9413525772","12472.1641235267","12451.9884364148"
"194.0457/126.706","2816.63356488964","2497.34210139404","2428.46783119341","85792.0896941528","86713.9560504913","83160.0080584981"
"195.1024/335.264","6399.93371431555","5856.40509699118","7010.82151352005","49764.4835262951","51176.6540194874","45279.8934452975"
"196.1062/334.659","1175.28984253866","1011.00864569508","643.446099750274","6464.52479050878","6264.69880829101","5252.07652387149"
"197.808/102.609","24678.7737442118","20926.7545754013","16928.4616542232","159406.288481409","153497.193028498","144441.751117676"
"199.0069/181.273","3607.15114332354","3391.31686196327","1883.83906350275","348318.845648612","354129.536510658","332305.404946268"
"199.0977/265.544","8238.45847163299","8045.8845848191","7825.51024983364","24931.545224435","26191.0425636902","25238.0019637609"
"200.0103/181.876","614.518335306152","807.489582761128","377.101546582777","28635.1498230329","31537.268414566","27137.4762580691"
"200.1294/297.067","1755.64426444289","2318.81488713287","2465.06755409166","11935.9330454959","13947.6473744474","13578.4687666321"
"201.0226/215.221","5348.91510458461","4302.88626474841","5816.5185301954","73877.5087747193","71857.6394102497","67541.4231566004"
"201.0383/32.363","4017.74740789155","4241.92767802894","4414.72280784075","522694.385892933","507081.09437778","499769.387101541"
"201.8017/52.38","3167.77479973032","2872.3936662028","1733.43048655323","211868.476292173","207156.287641907","210326.404913468"
"203.0019/79.918","4018.37604410134","3293.48348586499","4604.44354522152","234249.978860461","240601.28169209","241931.431128792"
"203.1285/262.509","1040.91621139041","1869.84305639267","2201.80517198678","19166.7229270404","17196.7597336949","16798.7799375113"
"204.0664/186.727","715.497475919949","502.427189826966","498.46292203234","145751.200566857","145840.375541931","141072.062337062"
"204.9464/330.415","3096.19827775955","4282.73446004028","3855.10463764071","33913.4783367514","35038.467206518","33989.629993126"
"205.0112/238.259","5529.22831771133","4961.36688559238","4192.91655756978","17603.7521886665","16256.6602988456","14307.9176744792"
"205.0696/186.727","843.684318579035","355.454048450046","158.290525101591","17084.4844275564","21091.7089215262","18325.4828767548"
"206.9391/29.918","2835.37715375956","3564.67330257944","4135.0678247422","53506.8462032787","55607.6066437002","52889.6730965614"
"206.9436/331.021","5764.41688394814","4813.62154330985","4828.462264121","28094.3035215791","26884.3602888487","27670.8189812771"
"207.0513/26.23","1510.33195983822","1018.5285603024","3449.06809437526","34620.1289129257","32055.5970121902","30473.2971624273"
"211.0974/229.774","1917.47497140181","2206.69786801338","2489.62739212402","13752.3692144751","12236.796353817","13327.6003547696"
"213.0229/245.533","11379.9857547248","11834.4235033086","12502.9317359286","199792.637643633","212517.905830025","206509.131799807"
"213.1134/287.972","4827.51818098594","4944.85589570999","4072.9383739013","33333.9722503299","30240.9580617963","30278.6615393529"
"213.1495/388.616","4153.77744383448","3913.78445749927","3728.38558090554","24973.2729457398","24830.2583169417","24592.9570786501"
"213.8892/31.14","2697.16472389697","2852.96741368132","3097.99875203461","54092.8507640019","61895.3770327808","54442.3042773189"
"214.0002/54.188","1073.39141364541","967.340084649519","975.94458817036","55340.4064496434","57950.4235539561","55677.0454584934"
"214.0257/245.533","2172.27056236482","3747.55651514311","2262.03542339528","19634.7162689922","20171.9623861008","15941.981785202"
"215.0018/139.421","1877.76030512386","2142.81515874718","2322.2917335602","70993.5224012015","75812.2713730836","75624.9369527751"
"215.1652/413.473","2605.80381431509","2548.95272596087","2834.57860858848","16226.7397486172","18699.5223592529","20021.0641285983"
"217.0174/187.939","3895.2577681825","3071.11938580965","2604.0015299954","64172.8958820054","68190.0358242035","65589.3298589165"
"217.0537/160.657","2251.42632160186","2611.58500080108","2779.31381204044","24863.2747109701","22602.4238127802","23696.6389329858"
"217.072/90.055","779.109347596644","617.13685184555","713.223819726139","34906.8134893224","34588.6431583682","32039.0207130139"
"220.9411/286.759","4075.60444981468","4442.06011224111","3703.317480904","37468.31964421","32804.2516809465","29939.4413505915"
"221.067/34.553","1449.87055405914","1386.95703406181","1202.08318810267","55151.8127218108","55072.1463562851","51330.1226975395"
"222.002/237.656","6867.59389703802","6700.80293407439","6421.36699475069","26784.9974686494","30836.5341885243","27298.3244998932"
"222.1136/310.408","552.196117256954","338.76553630371","793.411582398042","6923.96807863771","7433.10364271682","7175.48542698819"
"222.8686/22.533","5336.30418848697","4829.9411040185","5598.85022449982","47596.7712435516","49806.1391048043","43807.2839200281"
