"Module_RTclust","mz","time","TestSignal_plasma_09202017_50RP_014_NEG_matrix_1","TestSignal_plasma_09202017_50RP_015_NEG_matrix_2","TestSignal_plasma_09202017_50RP_016_NEG_matrix_3","TestSignal_plasma_09202017_50RP_017_NEG_NIST_1","TestSignal_plasma_09202017_50RP_018_NEG_NIST_2","TestSignal_plasma_09202017_50RP_019_NEG_NIST_3"
"2_63",206.97314,955.5,3771304.2,3797558,3716470,3635300.7,3491432.5,3451291.9
"2_63",207.97614,956.1,219556.1,214844.7,239440.6,205818.5,204729.9,218472.4
"2_63",248.08023,957.3,25693.5,23749.6,24203.7,20412.9,21682.8,22181.2
"2_63",353.85575,957.9,240486.6,229362.6,239442.5,227000.7,228062.8,232240.1
"2_63",617.71288,957.9,22752.6,25594.6,24020,22481.9,20616.9,22637.4
"2_63",471.78487,960.9,47853,50609.6,46017.8,23104.6,26221.9,22663
"2_63",240.90997,975.5,238748.2,235334.1,230402.2,206480.2,203057.2,195198
"3_1",352.89742,30.8,16596.8,15759.5,14524.5,12764.1,12428.9,10154.7
"3_30",277.06881,229.2,7162.8,5534.8,5777.4,4571.4,4913.4,3506.2
"3_30",162.95328,232.8,16258.9,15695.1,12698.2,15494.3,13712.1,13441.1
"3_44",249.11323,330.4,99985.5,98045.9,87114.9,88833.1,83198,83782.5
"3_45",193.0882,345,88445.7,83451.2,76980.2,81933.8,77001.7,71477.1
"3_47",495.97224,361.3,14812.8,14045.2,13398.8,14072.9,11716.9,10841.2
"3_49",252.0875,377.7,174218.9,170698.8,155958.7,157320.3,151456.6,140624.8
"3_49",239.15863,383.2,15050.8,14998.8,12537.6,14779.2,14408.5,11018.8
"3_52",266.10342,408,127032,127588.4,121833.5,123316.5,123206.4,117586
"3_53",256.09743,418.9,13143.7,13558.6,13216,12998.9,14134.8,10747.6
"3_53",247.16999,426.2,4985.3,5355.6,4666.5,3696.1,4005.6,1895.4
"3_53",239.06739,433.5,61285.8,67318.5,64624,63751.6,64708.4,40629.4
"3_56",372.24625,458.3,10226.8,9927.4,10300.2,10399.8,10035.1,9986.4
"3_61",427.16975,496.1,14172.2,14370.1,12975.2,10085.3,11261.7,7452.4
"3_96",473.399,722.1,42787.5,47245.4,39986.9,37306.9,39531.3,34781.7
"3_125",159.97659,913.6,7939918.6,7375101.9,7397566.7,7610364,7575440.2,4654939.4
"3_128",770.86073,939.1,123431.7,124148.1,116460.8,119819.1,115328.7,114915.6
"3_128",543.87271,939.7,85830.1,83292.4,73443.9,80196.6,76658.1,74271.3
"3_128",589.89987,939.7,99669.2,97388.9,90662.4,93318.5,95922,90669
"3_128",714.83938,939.7,104407.1,113995,95720.4,94944.8,103008.8,95501.8
"3_128",753.84687,939.7,18004.2,14002.3,11916.8,15267.3,8849.8,11282.5
"3_128",386.86159,944.6,64682.7,60277.5,59825.3,62904.6,58436.9,58862.3
"3_128",680.79572,944.6,69713.7,74052,71001.9,69207.6,71178.8,64144.5
"3_128",445.87793,945.2,14577.2,20699.7,14659.8,16090,15659,8326
"3_128",444.87791,946.4,60963.2,61039.6,60760.8,60321.1,60337.8,54980.6
"3_128",475.83161,946.4,16192.1,15436.2,14427.8,15606.8,11684.9,13338
"3_128",405.84988,947,38583.1,38053.3,37077.5,37611.1,36166.2,31339.6
"3_128",243.95317,947.6,164443.3,162193.3,162639.4,161480.6,149451.9,128630.4
"3_128",325.9052,947.6,66841.8,65167.6,54010.1,58592.5,58802.5,53996
"3_128",257.91972,948.2,101739.5,98170.9,88251,93439,92363,87845.8
"3_128",116.92841,948.8,15320583.1,15540909.2,14845595.3,14909560.1,15079058.9,14734848.2
"3_128",191.8477,948.8,56988.9,53547.6,53542.1,56082.2,53024.3,49236.2
"3_128",191.94601,948.8,29632.5,26195.7,26170.3,26425.5,25678.5,23363.3
"3_128",372.89948,948.8,36121.7,32658.5,32645,34189.3,30202,29161.2
"3_128",189.93181,949.4,193205.9,183792.4,175448.4,186635.4,175527.2,165753.4
"3_128",257.78822,949.4,43248.6,41755.1,38435,41952.1,36071.5,35863.6
"3_128",445.82387,949.4,38774.4,52886.2,37287.1,41506.7,41131,28828.6
"3_128",447.821,949.4,24376.5,23231.7,17032.1,20155,18315.8,17732
"3_128",468.90359,949.4,19954,20265.2,17867.5,18281.9,17662.7,16891.4
"3_128",237.82564,950,23340.8,24076.5,22304.9,21881.8,22489.8,18396.2
"3_128",522.77742,950,26808.3,24788.3,19627.4,20009.8,20293.5,16074.7
"3_128",144.92363,950.6,760257.6,490959.1,754619.2,795778.4,494177.2,485764.6
"3_128",157.86307,950.6,111584.1,116307.8,106010,109003.3,108719.8,101282.3
"3_128",229.92034,950.6,73182.6,74113.3,66525.9,65932,68603.8,63734.2
"3_128",277.90486,950.6,20856.1,23336.3,15112.9,15995.9,16630.3,13561.4
"3_128",439.81477,950.6,36233.9,40584.2,39505.8,33025.9,38326,29796
"3_128",457.78686,950.6,48264,46547.6,43833.2,47314.3,44998.3,33945.2
"3_128",206.82484,951.2,121502.9,126791.7,118886.9,121740.1,122013.3,114740.9
"3_128",231.93146,951.2,456963.6,450605.4,440994.3,441194.8,444213.3,430102.9
"3_128",306.85938,951.8,157116.4,149210.1,145207.3,141977.3,144058.5,132253.8
"3_128",304.86832,952.4,67690.9,67394.2,67531.2,65187.9,67901.6,61432.7
"3_128",241.94645,953.7,150813,154647.2,143215.5,147039.3,143520.1,141611.7
"3_128",261.85106,953.7,170417.9,159928.6,158244.4,161440,157793.1,152414
"3_128",240.95203,954.3,45685.3,44085.9,36360.2,40221.3,41556.7,37044.9
"3_128",123.90204,954.9,91014,103516.3,99484.2,86094.4,100545.1,76326
"3_128",249.97846,955.5,8225566.2,8189288.4,8050875.4,8056408.9,8098076.2,7940906
"3_128",391.88696,955.5,103055.1,96851.8,95542.7,94249.1,96134.9,85704.3
"3_128",634.75847,956.1,23942.6,24167.6,22868.2,23688.2,23799.4,22668.1
"3_128",103.92018,956.7,2018359.9,2043670.1,1944055.2,1939463.4,2053496.7,1169773.5
"3_128",104.92847,956.7,667370.1,656118.2,607736.7,626041.3,619976.1,579699.6
"3_128",281.95119,956.7,23861.4,27358,19806.1,20777.9,21924.2,20609.2
"3_128",323.90012,956.7,369126.7,366692.8,363911.1,338366.8,345018.3,320820.4
"3_128",352.8534,957.9,2251969.1,2291102.6,2230763.7,2239709.3,2234818.9,2190687.1
"3_128",305.8606,966.7,347288,357769.2,346085.7,339990.3,349509.6,323269.2
"4_1",410.28932,369.2,33300.3,34369.1,29706.3,32654.5,34750.9,31288.7
"4_7",311.16884,446.7,3233051.4,3335278.1,3050065,3338949.9,3280745.4,3218523
"4_7",312.1718,446.7,701630.8,725232.5,657160.1,724606.2,719473.9,693482.1
"4_7",313.16855,446.7,171173,175537.9,163749.4,173756.6,171289.7,168702.8
"4_11",844.94665,491.5,73594.4,73412.8,68423.7,74541.6,73766.2,70360
"4_12",894.94328,509.9,49997.4,51683.2,45106.4,50017.9,48411.3,46495.1
"4_27",221.02459,679,164786.9,171959.3,149133.1,163983.2,168934.9,158314.6
"4_50",132.92353,915.5,21589405,21401970.3,12830536.6,20914885.4,20754494.6,21385751.6
"4_52",398.88636,944,292372.3,294873.5,282321.6,293305.2,296463.5,286581.5
"4_52",512.86565,945.2,48518.2,51119.6,41286.7,49558.1,49054.9,49967.1
"4_52",164.86362,947,14443.3,14651.6,12485.7,13673,14011.7,13429.4
"4_52",519.82908,948.2,30706.5,31091.5,22966.1,29188.6,30844.5,28109.3
"4_52",174.86407,949.4,30926.1,32869.5,22725,32552.8,29645.8,26812
"4_52",438.96535,954.3,12376.8,13382.3,10729.3,11770.7,12358.8,11445.5
"5_1",262.97565,309.8,18318.7,16411.1,15420.2,13747.1,18077.9,16450
"5_6",253.09129,377.7,24626.8,21839.8,21703,20339.6,20409.1,20228.1
"5_6",442.97343,386.2,13855.9,9110.6,12345.7,10521.9,11476.1,10142.4
"5_6",308.07501,394.7,18876.8,16347.6,15456.3,17435.5,17135.4,17124.8
"5_9",277.14421,430.4,1062667.8,442929.6,239041.9,336434,287522.2,260992.1
"5_9",278.14777,430.4,173754,71316.9,40339.3,60905.1,50584.8,44364.8
"5_9",345.13148,430.4,84880,33101.4,16889,24758.4,23788,22140
"5_9",481.10658,430.4,11573.2,6213.5,3031,4330.6,3827.1,3889.9
"5_11",539.10133,467.4,7892.9,6357.5,5201.5,4762.1,5445.5,4314.9
"5_13",428.17333,495.9,4239.1,3016.5,3601,3235,3450.8,3289
"5_13",748.93043,502.6,11134.2,7534.9,8780.3,8164.1,8286.3,8821
"5_16",223.02823,545,28945.3,7644.7,12774,6629.2,11695,10972.2
"5_19",313.07768,582.6,17613.9,9891.9,11038.5,8486.6,13040.6,11366.2
"5_54",148.93814,945.8,176382.7,90244,76460.3,118610.4,100735.1,74133
"5_54",692.83415,947,36915.8,11076.3,8514.7,11749.2,9144.8,8593.6
"5_54",226.80217,947.6,335239.9,90724.8,107889.1,97002.7,116483.4,83150.7
"5_54",276.88136,948.2,12476.8,10468.1,8187.6,9296.1,8643,8613.9
"5_54",310.90099,948.2,57175.3,25863.6,28941,28953.9,26738.5,19584.1
"5_54",452.84229,948.2,45506.5,37861.8,34881.2,37968.6,34005.5,35609.1
"5_54",268.96482,948.8,16517.1,13176.2,12151.2,10310.5,13095.9,13039.1
"5_54",371.8982,948.8,83993.6,78994.4,77805.4,76832.9,79471,78217.3
"5_54",577.85848,948.8,9347.2,8281.4,7392.6,7184.1,6763.4,7322.8
"5_54",325.7241,949.4,23459.2,21263,20391.5,21354.4,21676,21195.6
"5_54",335.75224,949.4,11659.2,7393.9,9040.7,6883.6,8797.7,8353
"5_54",343.89719,949.4,61753.1,45831.7,48654.9,48200.5,48234.9,42706.1
"5_54",132.86776,950,4349241.9,89067.3,116355.9,102109.1,100989.2,101761.1
"5_54",235.82823,950,66363.1,65397.1,64729.2,65816.3,65149.6,64914.3
"5_54",241.91314,950,46416.6,39002,36975.1,38254.7,37142.6,39449.4
"5_54",257.85682,950,110730.8,30284,29394.4,29929.4,28241,29689.9
"5_54",425.83236,950,19976.4,16706.9,17708.2,16296.1,15993.1,15847.5
"5_54",309.85668,951.8,305486.5,290644,295995.3,290012.8,296144.8,295050.4
"5_54",446.76566,952.7,20643.2,18549.6,18232.9,15269.6,19772.1,18131.3
"5_54",135.90225,955.5,267312.1,236476.8,217621.4,215236.2,211505.6,205323.2
"5_54",370.00169,956.1,13752.4,11394.9,10821,12256.5,12783.6,11183.7
"5_54",350.85793,957.6,299818.6,278213.9,284053.8,287169.2,284972.4,280711
"5_54",348.99872,962.1,74657.1,56378,37980.3,35316.4,30267.1,27705.7
"6_1",180.97324,20,248765.5,250826.6,253737.3,283527.7,215487.7,306082.4
"6_30",348.93883,321.3,4731,5246.4,4880.7,4920.1,3753.6,5492.3
"6_30",411.08659,329.8,3009.4,3397.3,3239.1,2854.2,2895.3,4064.8
"6_41",534.92155,445.5,14821.6,15990.7,13834.7,12927,14050.9,17144.7
"6_89",991.80455,939.1,10113.3,12451.7,11603.2,10465,10525.4,13268.4
"6_89",917.83383,939.7,14382.5,16049.7,15155.7,14206.2,13594,17371
"6_89",759.36584,940.3,6744.7,7340,7827.5,8134.7,6352.4,9573.9
"6_89",443.8821,946.4,29076.4,29158.6,28512.6,24981.3,28235,31259.6
"6_89",124.89435,947.6,108112.5,106494.1,105467.9,99586.6,95911.2,116557
"6_89",280.89929,948.8,41890.9,50574.3,48376.2,42695.5,38699.8,57100.7
"6_89",463.88152,949.4,17630.1,16580.1,18013.5,17309,16320.3,19461.1
"6_89",431.94243,950.6,18376.1,18586.2,20238.4,17546.9,15599.3,19715.3
"6_89",332.01709,953,22292.4,24101.3,22890.3,19620.9,19802.9,23318.6
"6_89",412.04857,956.1,30448.5,32730.4,32326.2,31431.6,29486.9,33055.6
"6_89",262.85823,956.7,105424.1,129580,93707.8,85548.5,101633,137728.7
"6_89",515.77484,968.2,32861.7,35580,40477.4,36581.4,26709.3,37678.2
"7_1",598.85282,21.2,6952.8,8214.8,8909.5,11936.8,7577.3,10559.2
"7_1",650.86718,21.2,9030.2,12854.7,11613.1,18268.4,13216.6,19791.1
"7_1",582.87962,21.8,16217.4,21396.3,19234.9,25659.9,16887.6,24896.4
"7_1",292.89102,23.6,23917.5,22951.9,20001.7,14872,18633.9,15740
"7_1",323.85923,29.5,4030.7,5202,4380.5,6770.4,4625.3,6769.2
"7_21",192.95876,237.1,2926.8,2690.3,2289.1,3093,3766.9,3758.1
"7_21",193.0501,241.9,7178.7,7133.6,6570.8,10380.3,8134.4,6356.5
"7_25",299.02588,292.8,19694.7,19552.7,19774.2,19981.5,19970.4,23741
"7_25",280.9828,296.5,76640.1,85149.8,79308.9,79676.7,86534.4,90704.1
"7_27",330.97954,321.3,117399.4,119938.3,116398.3,124007.2,120111.8,108841.7
"7_27",394.97515,321.3,54630.6,50718.3,55869,54935.8,56168.3,52512.7
"7_27",395.97843,321.3,4946.1,5371.7,6434.9,5174.3,4849.9,5133.2
"7_27",222.12194,336.5,7016.8,7060.6,10899.2,9962.9,8142.2,6126.2
"7_27",289.10553,336.5,11814.7,12915.8,10961.1,14258.2,13120.7,11991.1
"7_27",380.97628,342.5,155890.6,162576.1,149972.2,175497.3,163901.7,161878
"7_27",444.97179,342.5,95979.4,92749.4,93938.9,93649,97830.7,98214
"7_27",426.98161,345,5205.4,4562,6709.4,5536.2,5627.6,5149.9
"7_27",342.97923,346.2,12858.9,15481.8,12337.8,16086,15425.3,13422.7
"7_27",327.03341,349.2,5395,3866.6,5748.7,7508.5,9097.1,8746.7
"7_27",424.98567,350.4,4995.4,7731.1,5563.4,7524.5,6910.6,6985.3
"7_28",431.97653,361.3,14405.4,15616.9,14406.8,14991.1,13017.4,13030.4
"7_28",327.16022,365,26758.2,29716.9,24168.6,27694.7,27271.9,27923.3
