"","x"
"652.10391_545.6",26
"652.30384_464.8",2896
"652.3232_521.4",2899
"652.45517_637.8",2897
"652.48165_599",2895
"652.58778_765",2900
"653.40095_599",2878
"653.45775_637.2",2898
"653.47404_599",2899
"653.58276_737.8",2900
"653.5826_737.1",2897
"654.30098_444.9",2896
"654.3193_491.3",2889
"654.47636_599",2895
"654.58611_736.6",2900
"654.58563_737.8",2896
"655.42099_556.5",2894
"655.50758_630.5",2902
"655.56377_759",2899
"655.58809_737.1",2896
"656.24022_485.9",2898
"656.31686_467.2",2897
"656.33536_522",2897
"656.38393_679.6",2888
"656.39559_588.1",2890
"656.42495_556.5",2896
"656.5742_773",2893
"656.88389_939.7",41
"657.13986_588.1",2901
"657.30331_480.4",2899
"657.32016_467.2",2898
"657.33087_365.6",2895
"657.49708_654.2",2897
"657.8873_939.7",145
"658.33284_484.1",2895
"658.35899_399.5",2896
"658.39351_571.7",2890
"658.7132_961.5",78
"659.33637_484.1",2896
"659.37696_622.6",2900
"659.3976_571.7",2895
"659.5127_673.6",2898
"660.34852_504.6",2899
"660.37996_622.6",2892
"660.39943_571.7",2903
"660.51612_673.6",2897
"660.70842_961.5",20
"661.35209_504.6",2899
"661.38304_433.5",2900
"661.39971_571.7",2886
"661.71053_961.5",33
"662.32567_496.7",2887
"662.42366_599",2897
"662.47493_632.3",2889
"663.15727_588.1",2896
"663.19637_544.4",2890
"663.27618_451.5",2881
"663.35946_383.8",2900
"663.42925_599",2901
"663.47021_573.5",2896
"663.47789_633.5",2902
"663.5196_751.8",2889
"664.20038_543.8",2894
"664.25515_465.4",2899
"664.36158_383.2",2896
"664.41867_500.9",2897
"664.41907_659",2856
"664.43177_598.4",2886
"664.4911_655.4",2896
"664.58789_760.2",2897
"664.88388_484.5",153
"665.12047_468",163
"665.42173_500.9",2903
"665.43084_599",2886
"665.59081_760.2",2895
"666.27082_491.9",2894
"666.60353_773",2901
"666.88035_484.4",58
"667.20782_544.4",2896
"667.27419_491.9",2895
"667.30719_507.6",2898
"667.60695_773",2906
"668.27215_449.7",2896
"668.28629_522",2897
"668.83967_942.1",38
"669.28978_522",2900
"669.42961_588.1",2895
"669.75665_947",2151
"669.84221_942.1",75
"670.28812_479.2",2898
"670.83675_942.1",22
"671.29108_479.3",2900
"671.44556_572.3",2891
"672.30558_271.6",2899
"673.11261_588.1",2902
"673.22492_544.4",2900
"673.35743_468",165
"673.39304_634.8",2897
"673.42557_680.2",2894
"673.52778_652.9",2900
"674.21609_369.8",90
"674.2278_544.4",2897
"674.28933_449.7",2894
"674.42848_680.2",2902
"674.77325_947.6",2194
"675.23074_544.4",2899
"675.29297_449.7",2895
"675.34214_343.1",2894
"675.44147_571.7",2899
"675.44041_680.8",2895
"676.42394_534.7",2897
"676.4445_571.7",2899
"677.30855_478.6",2897
"677.42417_588.1",2893
"677.54953_800.3",75
"677.79562_947",2873
"678.15341_629.9",2902
"678.52815_737.1",2898
"678.60295_768.1",2893
"679.47267_599",2897
"679.84788_939.7",49
"680.23195_369.2",157
"680.23914_472.6",2907
"680.47603_599",2893
"680.57477_762.6",2894
"680.61875_780.3",2898
"680.79572_944.6",90
"680.9558_455.8",144
"681.13955_572.3",2895
"681.61422_756",2898
"681.62214_780.3",2896
"682.31739_491.3",2900
"682.34172_522",2888
"682.59_774.2",2890
"683.50328_629.9",2896
"683.59303_774.2",2895
"683.69864_958.5",46
"683.79565_944.6",33
"684.24504_449.8",2901
"684.27156_529.3",2891
"684.33058_522",2896
"684.50689_629.9",2900
"684.6056_787",2898
"684.79625_945.2",65
"685.17006_629.9",2896
"685.25533_479.3",2896
"685.33328_522",2894
"685.46284_624.5",2895
"685.52799_646.9",2896
"685.57578_26.3",2897
"685.60873_787.5",2888
"686.2601_478.7",2896
"687.15674_571.7",2898
"687.27559_453.4",2898
"687.54366_666.9",2897
"688.27873_454",2827
"688.34083_507",2896
"688.45499_654.2",2893
"688.49025_25.6",2886
"688.54758_666.9",2899
"689.17269_599.6",2896
"689.19199_544.4",2894
"689.34367_508.2",2534
"689.48673_582.6",2897
"689.54989_666.9",2893
"690.32054_499.7",2899
"690.35683_539.6",2883
"690.60338_762.6",2902
"690.87799_940.3",59
"691.18815_630.5",2887
"691.50239_605.7",2898
"691.60662_762.6",2899
"691.75141_947",60
"692.29231_492.5",2897
"692.50569_605.7",2902
"692.61883_774.8",2899
"692.75142_946.4",2112
"692.83415_947",71
"693.21142_544.4",2895
"693.53857_715.4",40
"693.62186_774.8",2898
"693.64893_25.8",2896
"694.42951_511.8",2895
"694.42967_659",2894
"694.46457_612.3",2897
"694.63459_787",2900
"694.74791_945.8",40
"694.95621_437.1",94
"694.95593_947.6",27
"695.20766_544.4",2895
"695.36105_342.5",2900
"695.37188_574.7",2895
"695.4328_511.8",2897
"695.63791_787.6",2898
"695.74992_945.8",81
"695.95943_437.1",69
"696.30358_491.3",2897
"696.43539_511.8",2897
"696.64168_787.1",2898
"696.74846_945.8",41
"697.30665_491.3",2895
"697.50142_555.3",2899
"698.28956_444.9",2886
"698.31912_521.4",2895
"698.51212_708.1",2898
"698.91037_491.7",2316
"699.32276_522",2902
"699.44042_572.9",2896
"699.5153_708.1",2896
"699.91356_491.9",155
"700.30508_460.6",2900
"700.90758_491.7",821
"701.53063_722.6",2899
"702.32045_491.9",2900
"702.54166_724.4",2898
"702.87362_939.1",48
"703.14342_630.5",2893
"703.32388_491.9",2904
"703.54598_724.5",2876
"704.24016_473.8",2888
"704.33616_522",2901
"704.39485_571.7",2901
"704.44993_654.2",2896
"704.44965_527.5",2898
"705.3396_522",2896
"705.51788_621.4",2898
"706.3417_522",2895
"706.52145_621.4",2901
"707.27375_491.3",2883
"707.31724_484.1",2850
"707.63861_780.3",2896
"708.24206_480.5",2901
"708.36089_572.9",2894
"708.42649_598.4",2900
"708.65116_792.6",2888
"709.28937_522",2887
"709.42951_599",2894
"709.50514_637.8",2900
"710.26026_463.6",2901
"710.50863_637.8",2895
"710.62857_764.4",2897
"711.50453_637.8",2897
"712.27564_491.3",2897
"712.44034_511.8",2897
"712.49155_679",2897
"712.50648_637.8",2896
"712.52748_718.4",2905
"712.64447_779.7",2806
"713.28713_522",2901
"713.44376_511.8",2900
"713.55873_675.4",2891
"714.29152_521.4",2900
"714.50708_695.4",2901
"714.83938_939.7",88
"715.29451_521.4",2898
"715.44316_599",2905
"715.51032_695.4",2900
"716.29335_522",2893
"716.52276_709.9",2898
"716.53092_657.8",2895
"717.42957_571.7",2891
"717.51812_615.4",2897
"717.52468_709.3",2888
"718.3903_572.9",2890
"718.52159_615.4",2899
"718.85507_21.2",2888
"719.39298_573.5",2900
"719.44875_528.7",2890
"719.46509_599",2896
"719.52457_615.4",2894
"719.53459_637.8",2899
"720.48123_622",2895
"720.49657_695.4",2900
"720.52737_615.4",2890
"720.53743_637.8",2898
"720.89601_649.3",52
"721.14515_614.8",2844
"721.46119_599",2895
"721.49946_695.4",2902
"721.54013_637.8",2900
"721.5704_737.2",2893
"722.30657_491.3",2900
"722.46118_550.5",2900
"722.49754_642.6",2899
"722.51205_708.1",2901
"722.54212_637.8",2901
"722.55243_649.9",2899
"723.29078_444.3",2879
"723.46467_551.1",2895
"723.51558_708.7",2902
"723.52166_652.9",2897
"723.54469_637.2",2898
"724.32249_522",2900
"724.50375_642.6",2889
"724.52749_714.2",2895
"724.87144_939.7",64
"725.42386_571.7",2903
"725.49311_629.3",2895
"725.52039_652.9",2887
"725.53116_714.7",2902
"725.53292_605.1",2895
"725.87448_939.7",53
"726.12414_582",42
"726.31974_484.7",2896
"726.52147_652.9",2896
"726.54332_729.9",2902
"726.62361_754.1",2901
"726.70004_960.3",30
"726.78857_945.8",19
"727.12142_583.2",2789
"727.14428_544.4",2892
"727.32331_484.7",2895
"727.33336_522",2830
"727.38658_571.7",2883
"727.54649_729.9",2899
"727.78999_945.2",2251
"728.14657_544.4",2889
"728.39212_571.7",2904
"728.4505_543.2",2899
"728.52306_705.7",2832
"728.55407_729.9",2897
"728.69576_959.7",46
"729.45513_599",2896
"729.56206_743.8",2899
"730.17811_614.8",1866
"730.45691_599",2900
"730.47363_25.6",2895
"730.54599_671.1",2895
"730.84908_940.9",14
"731.14455_588.1",2901
"731.18309_544.4",2901
"731.26305_452.1",2902
"731.41771_599",2897
"731.53362_632.3",2900
"732.24409_464.2",2900
"732.53716_632.9",2895
"732.57442_759.6",2897
"733.48788_629.9",2889
"733.54977_652.3",2898
"734.25878_491.3",2894
"734.46162_654.8",2900
"734.53335_682.7",2902
"734.55304_652.3",2900
"734.73812_946.4",44
"735.2939_507.6",2894
"735.52076_646.3",2901
"735.55506_652.9",2899
"736.52399_646.3",2897
"736.52764_718.4",2894
"736.55622_652.9",2895
"736.82722_942.1",78
"737.2544_582.6",2888
"737.27676_522",2896
"737.53094_718.4",2899
"737.53635_666.9",2901
"737.82972_942.1",38
"738.50619_679",2899
"738.50694_696",2900
"738.52153_646.9",2900
"738.53935_666.9",2900
"738.82456_942.1",159
"739.51041_696",2901
"739.51071_679",2894
"739.53595_666.9",2901
"739.62347_752.3",2883
"740.52183_700.8",2897
"740.53675_666.9",2900
"741.09968_588.1",2872
"741.21206_544.4",2897
"741.52529_700.8",2900
"741.54012_666.3",2898
"742.20208_369.2",50
"742.2151_544.4",2898
"742.27652_449.7",2893
"742.53838_717.8",2900
"743.28025_449.7",2897
"743.54164_717.8",2897
"744.29225_473.8",2898
"744.42248_623.8",2904
"744.56223_682.7",2897
"744.95294_948.2",2790
"745.55012_646.9",2897
"745.95639_455.8",2868
"746.49686_632.3",2898
"746.51213_705.7",2901
"746.55341_646.9",2899
"747.516_705.7",2896
"747.56545_666.9",2900
"748.51023_773",2903
"748.51342_651.7",2903
"748.52784_714.7",2898
"748.55752_646.9",2900
"748.56917_666.9",2899
"748.60548_780.4",2884
"748.78305_944.6",2554
"748.93043_502.6",51
"749.51655_651.1",2899
"749.53117_714.7",2899
"749.55919_646.3",2889
"749.57193_666.9",2900
"749.78595_944.6",59
"750.30351_492.5",2893
"750.52897_671.1",2902
"750.54363_729.9",2901
"750.57347_666.9",2897
"750.77954_944.6",186
"751.30598_493.1",2829
"751.53223_671.1",2901
"751.54689_729.9",2901
"751.57608_666.3",2899
"751.58585_676.6",2895
"751.68603_956.7",27
"751.78213_944.6",36
"752.25849_529.3",2894
"752.31839_522",2892
"752.52357_706.3",2874
"752.53488_671.1",2901
"752.58834_676.6",2895
"753.15878_629.9",2890
"753.40594_366.8",2823
"753.45037_626.3",2902
"753.53778_671.1",2899
"753.56008_732.9",2895
"753.84687_939.7",64
"754.24845_472.6",2888
"754.48631_512.4",2897
"755.26249_453.4",2899
"755.5771_748.7",2892
"757.17885_543.8",2905
"757.30568_291.6",2897
"758.30906_291",2891
"758.54261_654.2",2884
"758.59155_762.1",2893
"758.86516_939.7",45
"759.17624_629.9",2894
"759.30824_291",2892
"759.36584_940.3",40
"759.49099_606.3",2899
"759.56491_661.4",2901
"760.509_768.7",2897
"760.54875_692.9",2894
"760.56812_661.4",2895
"760.60712_774.8",2893
"761.33687_310.4",2896
"761.54407_634.2",2903
"761.55387_692.9",2900
"761.5801_678.4",2896
"761.60961_774.2",2900
"761.74101_946.4",2880
"762.27487_460.6",2892
"762.41765_511.8",2848
"762.50722_693.6",2901
"762.52597_780.4",2904
"762.5392_646.9",2898
"762.56181_694.8",2895
"762.58319_678.4",2895
"762.62191_787.1",2898
"762.73542_945.2",126
"763.19417_544.4",2895
"763.35864_574.7",2902
"763.41664_587.5",2889
"763.51063_693.6",2899
"763.5592_655.4",2882
"763.6248_787",2901
"764.19647_544.4",2897
"764.4201_588.1",2895
"764.50084_660.2",2901
"764.52289_702",2898
"764.5794_711.7",2896
"764.73684_945.2",610
"765.29433_491.3",2895
"765.50409_660.2",2893
"765.52627_702.6",2898
"765.56709_694.2",2897
"765.57455_653.6",2896
"765.58268_712.3",2894
"766.3063_522",2898
"766.49953_660.2",2900
"766.51911_678.4",2895
"766.53836_719",2901
"766.56012_481.7",2898
"766.57881_653.6",2900
"767.11551_602",2886
"767.30985_522",2902
"767.49957_660.8",2849
"767.52102_679",2889
"767.54155_719",2901
"767.58118_653.6",2889
"768.29175_460",2900
"768.54607_719",2893
"769.54929_642",2898
"770.30785_492.5",2897
"770.86073_939.1",113
"771.31086_492.5",2898
"771.56523_658.4",2899
"771.59324_700.2",157
"772.32333_522.6",2900
"772.38133_571.7",2896
"772.52745_711.1",2900
"772.56847_658.4",2899
"772.59588_700.8",151
"773.32672_522",2899
"773.50647_621.4",2894
"773.53152_711.8",2884
"773.58104_674.8",2900
"774.52568_774.8",2900
"774.52874_660.2",2900
"774.58424_674.8",2900
"775.53187_660.2",2899
"775.54693_727.5",2898
"775.59658_694.2",2897
"776.414_598.4",2901
"776.49856_648.7",2894
"776.54149_786.9",2901
"776.54438_677.8",2899
"776.55794_731.7",2894
"776.59975_694.2",2900
"776.9587_485.6",184
"777.49307_637.8",2897
"777.5453_787.5",2892
"777.5475_677.8",2899
"777.56205_732.3",2899
"777.60268_694.2",2892
"778.24806_458.8",2901
"778.44967_26.1",2891
"778.51486_671.1",2896
"778.55974_696.6",2898
"778.57008_732.4",2900
"778.61339_703.9",2892
"779.43511_599",2900
"779.51987_671.1",2897
"779.55309_677.8",2901
"779.56292_696.6",2901
"780.51621_671.7",2866
"780.56564_696.6",2900
"780.58056_773",2897
"781.56851_696.6",2896
"781.58321_773.6",2892
"781.86002_939.7",30
"782.27825_514.8",2898
"782.36108_939.7",34
"782.82642_940.3",37
"783.43148_599",2897
"784.43471_599",2874
"785.41626_571.7",2885
"785.50557_615.4",2895
"786.50891_615.4",2896
"786.52855_660.2",2899
"786.56472_699.6",2898
"787.44984_599.6",2891
"787.52135_637.8",2901
"787.56809_699.6",2897
"787.84381_939.7",326
"788.52462_637.8",2897
"788.54395_673.6",2898
"788.57883_702",2900
"788.97417_485.3",2877
"789.44864_599",2897
"789.52826_637.8",2895
"789.54761_673.6",2895
"789.58391_716.6",2893
"789.58477_701.4",2900
"790.50202_707.5",2896
"790.53882_716.6",2899
"790.55961_691.1",2900
"790.59548_717.1",2898
"791.48734_642.6",2884
"791.54254_716.6",2894
"791.56296_691.1",2898
"791.59888_717.1",2902
"792.29186_461.2",2903
"792.49391_639.6",2895
"792.53269_686.3",2899
"792.55333_723.2",2903
"792.57593_704.4",2903
"792.60173_717.1",2895
"792.8586_939.7",104
"793.47949_629.9",2898
"793.53482_686.9",2897
"793.57807_704.5",2898
"793.59994_718.4",2887
"793.86101_939.7",44
"794.30641_484.7",2887
"794.5092_660.8",2899
"794.53289_730.5",2902
"794.54687_702.6",2898
"794.58951_478.7",2901
"794.59635_780.3",2903
"794.94982_473.4",2848
"794.94965_948.5",2638
"795.13226_545",2896
"795.35062_622.6",2901
"795.37289_571.7",2894
"795.51222_660.8",2902
"795.5357_730.5",2894
"795.55003_702.6",2901
"795.95275_473.5",22
"796.51249_646.3",2898
"796.51402_660.8",2900
"796.54616_702.6",2898
"796.60075_780.3",2887
"796.77248_945.8",36
"797.51786_646.9",2899
"797.57977_667.5",2896
"798.52848_661.4",2899
"798.8368_940.9",38
"799.14012_615.4",25
"799.40475_599",2892
"799.53177_661.4",2899
"799.59648_682.7",2895
"800.14147_615.4",666
"800.14103_614.1",52
"800.54437_671.1",2901
"800.57919_708.1",2892
"800.59624_683.9",2894
"801.09452_468.6",170
"801.54761_671.1",2900
"801.61179_701.4",2900
"802.52698_481.7",2899
"802.54107_652.9",2898
"802.55999_686.9",2898
"802.55918_688.7",2898
"802.6137_701.4",2893
"803.19574_643.9",2838
"803.19547_643.2",2562
"803.50874_646.9",2894
"803.53087_481.7",2898
"803.56414_686.9",2899
"803.56288_688.7",2899
"803.62741_719",2899
"804.26137_522",2896
"804.4854_448.5",2900
"804.57459_704.5",2898
"804.57592_702.6",2897
"804.63055_719",2899
"804.81565_941.5",31
"805.19528_643.2",2579
"805.48781_447.9",2892
"805.57962_702.6",2900
"805.63346_719",2896
"806.52805_666.9",2897
"806.55361_659",2897
"806.58193_702.6",2897
"806.59669_774.8",2896
"807.50292_671.7",2900
"807.52337_664.5",2894
"807.58456_702.6",2901
"807.59978_774.9",2898
"808.50605_671.7",2902
"808.54886_685.1",2888
"808.58671_702.6",2897
"808.61218_787.1",2902
"809.19954_544.4",2893
"809.5084_671.7",2896
"809.55291_685.1",2894
"809.61497_787.5",2894
"809.68099_588.1",2895
"810.20342_544.4",2881
"810.52852_660.2",2896
"810.52734_718.4",2896
"810.5648_700.2",2901
"810.61825_788.3",2886
"810.68508_587.5",2894
"811.41598_571.7",2898
"811.53044_718.4",2902
"811.56814_700.2",2896
"812.51125_461.8",2896
"812.54398_674.8",2898
"812.5797_703.2",2899
"813.51407_461.8",2884
"813.53689_646.9",2899
"813.54743_674.8",2900
"813.58334_703.3",2899
"814.54002_646.9",2897
"814.55916_681.4",2895
"814.59211_705.7",2898
"814.59579_722.6",2897
"815.35945_588.1",2897
"815.44761_599",2896
"815.55257_666.9",2899
"816.35471_939.7",98
"816.5164_716.5",2895
"816.5335_677.2",2895
"816.55583_666.9",2899
"816.57528_697.8",2897
"816.61078_723.2",2898
"816.77045_944",75
"817.51863_716.5",2895
"817.55841_666.9",2901
"817.57873_697.8",2898
"817.616_722.6",2901
"817.64259_729.9",2899
"818.29078_492.5",2895
"818.51924_671.1",2896
"818.53084_730.5",2901
"818.54771_694.2",2897
"818.55428_656",2902
"818.59074_714.1",2900
"818.64576_729.9",2899
"818.76733_944.6",41
"819.52074_670.5",2898
"819.53431_730.5",2895
"819.55862_656.6",2899
"819.59442_713.5",2903
"820.2463_529.9",2857
"820.51645_470.2",2899
"820.56401_711.1",2899
"820.56995_673",2891
"820.77314_944.6",104
"821.51958_470.2",2896
"821.56561_709.9",2894
"821.60072_666.3",2894
"821.63003_739",2896
"821.6335_588.1",2883
"822.23481_472.6",2893
"822.52827_659",2900
"822.5625_710.5",2900
"822.63296_739",2894
"823.53173_659",2901
"823.58134_724.5",2902
"823.62981_739",2894
"824.31512_507.6",2893
"824.5445_673",2899
"824.57895_707.5",2898
"824.6311_739",2900
"825.54759_673",2898
"825.58303_708.1",2906
"825.61175_689.9",2900
"826.46953_472.6",2871
"826.56052_688.7",2902
"826.55956_689.3",2898
"826.59044_714.7",2859
"826.63991_735.9",2902
"826.85249_940.3",168
"827.16224_630.5",28
"827.35088_940.3",36
"827.47723_605.7",2898
"827.56358_688.1",2889
"827.62718_705.7",2896
"827.64292_735.9",2897
"828.48466_446.1",2891
"828.576_694.8",2901
"828.65584_749.8",2901
"828.72658_945.2",48
"829.48748_445.5",2903
"829.50958_646.9",2900
"829.53229_634.1",2877
"829.57957_694.8",2898
"829.64321_723.8",2901
"829.65826_749.8",2896
"830.52342_646.9",2900
"830.59197_710.5",2899
"830.64588_723.8",2901
"830.72317_945.2",69
"831.18165_544.4",2896
"831.54641_655.4",2902
"831.59485_710.5",2899
"831.65904_739",2901
"832.18437_543.8",2873
"832.27816_492.5",2900
"832.58752_695.4",2901
"832.60697_724.4",2901
"832.662_739",2901
"832.83102_940.3",46
"833.51794_682",2899
"833.61009_724.5",2900
"833.66535_739.6",2900
"834.29391_522.6",2897
"834.52116_682",2896
"834.52581_719",2897
"834.56478_697.2",2896
"834.6132_724.5",2899
"835.50357_637.8",2891
"835.52425_682",2901
"835.53397_702.7",2900
"835.6166_724.5",2896
"836.27939_459.4",2900
"836.50551_638.4",2896
"836.51054_460.6",2900
"836.57915_704.4",2898
"837.54738_673",2897
"837.58288_703.9",2898
"837.67617_588.1",2895
"838.29489_494.3",2904
"838.55965_682",2901
"838.59582_706.9",2896
"838.68034_588.1",2897
"838.84799_939.1",62
"839.29664_493.1",2901
"839.55238_657.8",2897
"839.59916_706.9",2895
"839.68318_588.1",2884
"840.31076_522.6",2894
"840.55489_657.8",2894
"840.57523_698.4",2901
"840.60209_705.7",2897
"840.61108_724.4",2901
"840.6834_945.8",59
"841.56779_675.4",2900
"841.6159_725",2898
"842.5171_660.2",2896
"842.53101_728",2896
"842.56737_23.3",2901
"842.5706_675.4",2897
"842.59049_705.7",2893
"842.6227_728",2899
"842.68018_946.4",23
"843.52033_660.2",2897
"843.62689_723.3",2904
"843.65848_734.1",2900
"843.67449_757.8",2891
"844.40086_599",2896
"844.51613_466.6",2897
"844.52367_660.2",2900
"844.53193_678.4",2898
"844.56249_712.4",2896
"844.60658_720.8",2902
"844.66182_734.1",2902
"844.94665_491.5",56
"845.48032_638.4",2894
"845.51971_466.6",2898
"845.53513_678.4",2902
"845.55019_732.3",2894
"845.62871_725.6",2889
"845.67429_748.7",2897
"845.94978_491.5",32
"846.52049_467.2",2897
"846.53863_679",2903
"846.55373_696.6",2894
"846.57833_719",2898
"846.63211_726.9",2889
"846.67766_748.7",2896
"847.38782_571.7",2892
"847.47919_637.8",2884
"847.52056_466.6",2898
"847.5797_717.1",2899
"847.64619_740.8",2900
"848.54388_663.9",2901
"848.5787_718.4",2901
"848.64945_741.4",2896
"849.49122_637.8",2898
"849.51875_652.3",2904
"849.54746_663.9",2900
"849.84735_939.7",1395
"850.34838_939.7",115
"850.49409_637.8",2887
"850.55993_683.9",2900
"850.64863_741.4",2893
"851.41789_599",2907
"851.5632_683.9",2901
"852.48484_445.5",2896
"852.57565_694.8",2892
"852.65594_738.4",2893
"853.40357_571.7",2890
"853.48856_445.5",2898
"853.49288_616",2896
"853.57896_694.8",2898
"853.64269_713",2897
"853.65885_738.4",2896
"854.4967_616",2898
"854.59154_711.7",2901
"854.67169_751.2",2901
"855.449_629.9",2833
"855.50859_637.8",2899
"855.59455_711.7",2900
"855.65909_726.8",2900
"855.67392_751.7",2899
"856.51209_637.8",2898
"856.53157_673.6",2896
"856.6067_719",2899
"856.66194_726.8",2901
"856.68766_766.9",2899
"857.43556_599",2897
"857.51767_683.9",2898
"857.59784_368.6",2895
"857.60997_719",2899
"857.67467_740.8",2902
"858.43943_599",2904
"858.52152_683.3",2895
"858.61214_719",2901
"858.6781_740.9",2900
"859.53316_693",2901
"859.62557_730.5",2902
"859.68995_757.8",2902
"860.35675_587.5",2879
"860.537_693.6",2897
"860.54741_490.7",2897
"860.62971_729.9",2900
"860.69374_757.8",2902
"860.84595_939.7",63
"861.46772_629.9",2886
"861.51947_646.9",2896
"861.54905_714.1",2898
"861.58314_701.4",2878
"861.69662_757.8",2898
"861.84734_939.7",36
"862.55281_713.6",2897
"862.59433_705.1",2899
"862.69919_757.8",2891
"863.11878_544.4",2884
"863.35995_571.7",2894
"863.50679_652.9",2890
"863.53493_666.9",2899
"863.5646_731.7",2900
"863.59835_705.7",2897
"864.46086_637.8",2893
"864.56851_731.7",2895
"864.61115_721.4",2900
"865.46459_637.8",2899
"865.5718_731.8",2900
"865.57785_696",2899
"866.51596_661.4",2894
"866.6264_728.1",2904
"866.82397_940.9",569
"867.39131_599",2899
"867.46414_637.8",2890
"867.51916_661.4",2897
"867.59319_703.3",2895
"867.63068_728",2899
"868.35742_25",2883
"868.51613_468.4",2901
"868.53156_671.7",2899
"868.64244_743.8",2883
"869.51978_468.4",2897
"869.53494_671.7",2897
"870.52815_652.9",2902
"870.547_686.3",2896
"870.65853_746.3",2897
"871.42218_629.9",2864
"871.49536_646.3",2897
"871.55026_686.3",2898
"871.61485_719",2901
"872.24967_522",2894
"872.54538_661.4",2903
"872.56254_703.3",2898
"872.61677_719",2899
"872.69146_746.3",2895
"873.15932_643.2",105
"873.39256_588.7",2878
"873.51157_666.9",2902
"873.56598_703.2",2897
"873.8053_940.9",2869
"874.15976_643.2",2820
"874.55993_675.4",2900
"874.56894_702.7",2900
"874.58341_719.6",2897
"875.1592_643.2",2655
"875.50703_646.9",2900
"875.56295_674.8",2901
"875.58447_719.6",2898
"875.6842_731.1",2903
"876.15675_642.6",2523
"876.48905_730.5",2895
"876.51083_646.9",2898
"876.5626_481.1",2897
"876.57579_692.4",2901
"877.21459_668.1",2885
"877.52298_666.9",2899
"877.56581_481.1",2892
"877.57937_692.4",2901
"878.21595_668.1",2884
"878.51273_718.4",2899
"878.58357_641.4",2893
"878.59101_708.7",2897
"878.82671_938.5",2357
"879.21378_667.5",2865
"879.51496_718.4",2884
"879.58674_641.4",2896
"879.59431_708.1",2900
"879.6564_718.4",2893
"879.66487_588.1",62
"880.21381_668.1",2844
"880.53151_675.4",2893
"880.57283_703.2",2889
"880.60611_716.6",2897
"881.52407_646.9",2897
"881.57391_703.3",2891
"881.60959_717.2",2901
"881.674_732.3",2895
"881.68104_571.7",2792
"882.52731_646.9",2898
"882.62113_726.8",2897
"883.53959_666.3",2901
"883.62451_726.8",2894
"883.67931_571.7",62
"883.68971_746.3",2902
"883.83463_940.3",48
"884.3407_939.7",76
"884.54303_666.3",2895
"884.62635_728.1",2896
"884.69144_746.2",2895
"885.5493_714.8",2899
"885.63065_730.5",2896
"886.52128_730.5",2897
"886.5526_714.8",2898
"887.55629_715.4",2901
"887.67109_679.6",2896
"887.72781_598.4",2896
"888.56806_724.4",2889
"888.67422_680.2",2896
"888.73092_599",2799
"889.50625_470.2",2888
"889.57203_724.4",2899
"889.67586_680.2",2890
"889.72486_599",2899
"890.47707_646.9",2895
"890.51499_659",2899
"890.56872_725",2892
"890.72748_599",2904
"891.47969_646.9",2901
"891.5184_659",2899
"891.72987_598.4",58
"892.51638_467.8",2896
"892.53086_673",2900
"892.59691_655.4",2900
"892.64257_732.9",2901
"893.48116_646.9",2896
"893.49676_665.7",2896
"893.53407_673",2899
"893.63299_571.1",2899
"893.64588_733.5",2899
"894.54636_676.6",2894
"894.83954_940.3",79
"894.94328_509.9",64
"895.46421_606.3",2876
"895.49691_666.9",2898
"895.5498_677.2",2880
"895.61242_706.3",2888
"895.66155_746.9",2897
"895.77103_629.9",2889
"895.94555_510",67
"896.49981_666.3",2891
"896.5625_695.4",2900
"896.71453_945.2",120
"897.56588_695.4",2898
"897.6303_723.8",2901
"898.57821_711.1",2899
"898.71107_945.2",1536
"899.16873_544.4",2897
"899.58174_711.1",2897
"899.64615_739",2899
"899.68301_599",2905
"900.59383_725",2900
"900.64944_739",2899
"900.68593_598.4",2888
"901.50666_681.4",2901
"901.54535_654.2",2876
"901.59743_725",2899
"901.68174_598.4",2867
"902.51362_719",2894
"902.60041_724.4",2894
"903.4908_638.4",2887
"903.51612_719",2897
"903.60364_724.5",2900
"904.59933_649.9",2900
"905.60296_649.9",2898
"906.50194_678.4",2892
"906.51269_25.6",2897
"906.58321_706.9",2894
"906.61507_669.3",2901
"906.83507_939.1",67
"907.5393_658.4",2899
"907.58626_706.9",2882
"907.61828_669.3",2900
"908.50753_25.6",2895
"908.54046_659",2903
"908.59888_724.4",2899
"908.62155_669.3",2899
"909.54938_712.4",2894
"909.62243_669.3",2901
"909.67606_571.7",2898
"909.75201_588.1",178
"910.50409_660.2",2899
"910.55264_712.4",2891
"910.66863_945.8",1898
"911.50627_660.2",2895
"911.56452_719",2896
"911.64555_734.1",2900
"912.50941_659.6",2898
"912.51885_679",2895
"912.64926_734.1",2898
"913.46672_638.4",2891
"913.50572_466.6",2899
"913.52199_679",2898
"913.66169_748.7",2902
"914.52534_679",2899
"914.56593_719.6",2903
"914.58681_734.8",2894
"914.66511_748.7",2899
"915.59799_666.3",2899
"915.72297_599",2889
"916.56521_720.2",2899
"916.60142_666.3",2898
"916.72593_598.4",2899
"917.47804_637.8",2899
"917.60368_666.3",2894
"917.6341_740.8",2886
"917.72838_599",2894
"917.83383_939.7",26
"918.54692_680.8",2898
"919.55024_680.8",2896
"920.56245_695.4",2902
"920.67378_750.6",2899
"921.47999_616",2895
"921.56602_695.4",2900
"921.62867_716",2899
"921.6778_751.1",2898
"921.76994_629.3",2857
"922.57788_713",2898
