"","x"
"283.02817_184.3",2898
"283.07015_528.1",2896
"283.08247_149.1",2892
"283.11843_269.8",2894
"283.17047_507.6",2898
"283.19144_407.4",2901
"283.259_598.4",2889
"283.26388_629.9",2899
"283.26379_630.5",2898
"283.78165_949.4",27
"283.85544_950.6",27
"284.22288_480.4",2895
"284.26726_629.9",2894
"284.84156_953",2853
"285.06798_528.1",2892
"285.16384_383.2",86
"285.20701_428.6",2900
"285.24347_555.3",2890
"285.85281_950.6",56
"286.11552_266.1",2844
"286.11972_379.5",2619
"286.21011_428.6",2852
"286.21432_588.1",2894
"286.84157_947.6",346
"288.83762_947.6",162
"288.90424_950",1596
"288.93396_949.4",403
"289.00954_951.8",171
"289.10535_391.6",2900
"289.10553_336.5",143
"289.8978_87.5",2890
"289.95451_951.2",43
"290.10945_391.6",2899
"290.85387_953.7",27
"291.06643_335.9",2897
"291.15976_388",2775
"291.23268_500.3",2883
"291.89457_87.1",2901
"292.89102_23.6",165
"293.17546_381.9",2893
"293.17892_461.4",2900
"294.11287_226.1",2900
"294.17925_381.9",2904
"294.18168_461.4",2899
"294.61436_226.1",2893
"294.95048_945.8",231
"295.02821_223.7",2898
"295.1783_461.2",2903
"295.18226_381.9",302
"295.18875_542",2900
"295.19091_406.8",2901
"295.22756_599",2904
"295.95162_945.8",241
"296.03146_223.7",2900
"296.23068_598.4",2898
"297.03799_237.7",2897
"297.07442_333.4",2900
"297.14701_293.4",2887
"297.15268_423.2",2873
"297.24302_531.1",2891
"297.24292_458.8",2897
"298.04115_237.7",2894
"298.15601_423.2",2899
"299.01404_237.7",2899
"299.02588_292.8",107
"299.15285_422.6",432
"299.25876_577.8",2882
"299.92628_87.5",2905
"300.12405_401.3",47
"300.26226_577.8",2891
"300.86305_945.8",162
"300.86375_946.4",2877
"301.2171_548.7",2898
"301.238_588.1",2891
"301.9551_948.8",2039
"302.22015_548.7",2900
"302.95634_948.2",38
"302.97614_238.3",2894
"302.98521_278.3",46
"303.19939_480.2",2899
"303.2327_572.9",2901
"304.15284_345",2891
"304.23601_572.9",2899
"304.86832_952.4",83
"304.91213_950.6",66
"304.91344_18.2",44
"305.21475_474.7",136
"305.24829_589.3",2895
"305.8606_966.7",96
"306.13454_554.1",39
"306.25166_589.3",2892
"306.75011_950",125
"306.85938_951.8",166
"306.9073_947.6",38
"307.15835_408",2903
"307.19474_483.2",2901
"307.26377_612.3",2900
"307.856_967.6",64
"307.90798_947.6",29
"307.93608_952.4",50
"308.07501_394.7",44
"308.16109_408",2687
"308.19771_483.2",2902
"308.26764_612.3",2898
"308.84013_302.5",2889
"308.90366_947.6",44
"309.07458_343.8",2898
"309.14526_501.8",2897
"309.17402_431",2904
"309.19446_483.5",2899
"309.2793_637.2",2898
"309.85668_951.8",51
"309.90335_946.4",91
"310.17732_431",2895
"310.8386_301.9",2897
"310.90099_948.2",74
"310.93052_21.8",153
"311.14016_192.8",2896
"311.16884_446.7",60
"311.20122_495.9",166
"311.22217_450.9",156
"311.22239_410.4",2900
"312.16238_497.3",42
"312.1718_446.7",59
"312.20446_495.9",162
"312.22582_451",154
"312.22596_410.4",2894
"312.23011_599",2843
"312.88012_102.8",2887
"313.07761_667.5",2864
"313.07789_689.3",2876
"313.07808_415.3",2859
"313.07768_582.6",47
"313.16855_446.7",53
"313.20796_496.5",2892
"313.23787_472.6",160
"313.23751_599",2897
"314.16956_446.8",38
"314.24091_599",2887
"314.24542_629.9",2895
"314.80769_948.8",53
"315.18073_341.3",2875
"315.25371_443.1",2904
"315.25367_402.6",486
"316.25734_402.6",876
"316.25735_443.1",2164
"316.7382_945.8",135
"316.94761_21.8",2896
"316.96482_102.6",2894
"317.08189_303.1",28
"317.10028_330.4",2649
"319.0613_254.6",2890
"319.89004_950",84
"320.95017_950.6",50
"321.14668_368",2901
"321.17_343.8",2891
"321.20473_555.3",2902
"321.21154_505.6",2901
"321.2429_525.1",2902
"321.81371_949.4",37
"322.16663_429.8",2902
"322.21416_504",2879
"322.88666_948.8",55
"323.16235_389.8",2898
"323.21997_588.1",2900
"323.21994_680.2",2902
"323.85923_29.5",726
"323.90012_956.7",171
"324.19316_454",2895
"324.22344_588.1",2894
"324.83708_948.2",69
"324.8824_948.8",42
"325.18425_468.4",167
"325.20119_349.8",2891
"325.23715_571.7",155
"325.7241_949.4",56
"325.9052_947.6",85
"326.18737_468.4",179
"326.83023_973.7",40
"326.9032_21.2",140
"327.03046_237",2897
"327.03341_349.2",2877
"327.06582_335.3",2867
"327.09857_332.2",2896
"327.16022_365",43
"327.18449_468.4",177
"327.23248_571.1",2901
"327.25368_597.8",2897
"327.65227_288.6",2899
"327.72053_949.4",68
"327.9676_237.7",2897
"328.03251_236.4",2894
"328.18524_468.4",161
"328.23065_399.5",2896
"328.23621_571.1",2901
"328.2567_597.8",2900
"328.90307_944.6",141
"329.17559_269.2",2895
"329.2333_353.5",2898
"329.24814_594.1",2899
"329.24819_582.6",2894
"329.26948_629.9",2901
"329.84434_950",33
"329.906_944.9",1806
"330.23643_353.5",2896
"330.8315_947",32
"330.89893_944.6",40
"330.97954_321.3",66
"331.0223_87.3",134
"331.17598_337.1",2901
"331.26342_605.7",2897
"331.98266_320.7",28
"332.01709_953",47
"332.26703_605.7",2898
"332.89818_944.6",1416
"332.93736_102.8",2896
"333.13495_415.3",2901
"333.20697_315.9",2896
"333.93718_22.4",151
"334.02351_186.7",2893
"334.13828_415.3",2898
"334.79136_23.3",2902
"334.82408_947.6",34
"335.08109_417.7",2903
"335.11092_391.6",2899
"335.75224_949.4",51
"336.82282_948.8",42
"336.8586_970.6",154
"337.16674_341.9",2897
"337.20473_476.5",2901
"337.86218_947.6",174
